x,y
0.7693260583307391,-0.9370931534036449
0.7693265206286954,-0.9043625934839143
0.7693269952861235,-0.8729511504329655
0.7693273788243834,-0.842762430876677
0.7693277973720434,-0.8137090956031994
0.7693281567119261,-0.7857113610060983
0.7693285657347685,-0.7586965930287982
0.7693289485209893,-0.7325981499528056
0.7693292470742429,-0.707354943445118
0.7693296740443187,-0.682911083745448
0.7693299395894614,-0.6592146693721249
0.7693302890131716,-0.6362182768729071
0.76933059118969,-0.6138777596914504
0.7758395846887105,-0.597162107980617
0.8045748705553158,-0.597162478165351
0.8346976142404503,-0.5971629105650598
0.8663305844122917,-0.5971633792215773
0.8996110782845579,-0.5971638287577946
0.9346933825651118,-0.5971643182721637
0.9717512107669667,-0.5971648560424487
1.010980915680283,-0.5971654166216249
1.052605410079584,-0.5971659882034415
1.096878923557972,-0.59716662385355
1.1440924084549162,-0.5971672879633944
2.8467829091282173,-1.423099821884217
2.8467817952712355,-1.3613891402449214
2.8467804695111805,-1.3007024230965867
2.846779217942146,-1.2409782813259398
2.846777975900341,-1.182158253209837
2.846776751951592,-1.124186758127402
2.846775604751298,-1.0670108504067313
2.8467743756736303,-1.0105799078210234
2.8467732990042744,-0.9548456624251821
2.8467722551257917,-0.89976174561388
2.8467711263050752,-0.8452836608514331
2.846769922763888,-0.7913686628709243
2.846768900570749,-0.7379756312735946
2.84676774394712,-0.6850647157675855
2.8467668111096116,-0.6325975395363725
2.846765598385993,-0.5805367050288625
2.846764676996326,-0.5288461204644612
2.846763429679184,-0.4774904167197352
2.846762452532445,-0.426435313866219
2.8467615001119637,-0.3756471455137001
2.8467604709141265,-0.3250929551731287
2.846759452219813,-0.2747403999037712
2.8467582833068623,-0.22455761458153328
2.8467572986873995,-0.17451319742907126
2.8467561655530633,-0.12457603599976391
2.846755331020952,-0.0747153258686281
2.8467541321819065,-0.024900409335857274
2.8467531888403226,0.02489922384143313
2.846752263541434,0.07471406739674101
2.846751215062783,0.12457463995644187
2.8467499937220726,0.17451156804141876
2.846749106632332,0.22455570623236712
2.8467479373450963,0.2747381004896938
2.846747103238286,0.3250902361161068
2.8467460550512556,0.3756439097989238
2.8467449447778437,0.42643148770064
2.8467438758732158,0.47748592667410883
2.8467428613168027,0.5288408499723641
2.8467417765586838,0.5805306209767297
2.846740772908848,0.6325905181525028
2.846739515682077,0.6850566774174807
2.846738510664355,0.7379664969626892
2.8467374017386167,0.7913583542939293
2.8467362782118704,0.8452720325763435
2.728030428686893,0.8622305082723132
2.570643119841025,0.8622267417579174
2.4288611080007367,0.862223236283891
2.3003987777444617,0.8622201776811854
2.1833944840797814,0.8622173108824834
2.076318154837114,0.8622146855731315
1.977900050083854,0.8622123621523073
1.8870769460706756,0.8622100992585994
1.8029532340099204,0.8622081079341972
1.7247675974671195,0.8622062171177576
1.6518696505189177,0.8622044142492753
1.583700389559937,0.8622028040619907
